DSGS mitenand,DSGS mitenand manual,DSGS signer,SRF link,SRF title,LSF ensemble manual,LSF ensemble,LSF signer,RTS link,LSF SWISS TXT video file,RTS title,LIS insieme manual,LIS insieme,RSI link,RSI title,LIS signer
,,,,,,,,,,,2023-01-21_associazione_svizzera_dei,2023-01-21_associazione_svizzera_dei,https://www.rsi.ch/play/tv/insieme-lis/video/associazione-svizzera-dei-paraplegici-asp?urn=urn:rsi:video:15885814,Associazione svizzera dei paraplegici ASP,Giancarla Calitri
,,,,,,,Azra Beslagic,,only green screen on Mediahub,Proxicompost,2023-01-28_proxicompost_-_compostaggio,2023-01-28_proxicompost_-_compostaggio,https://www.rsi.ch/play/tv/insieme-lis/video/proxicompost-compostaggio-di-prossimita-lis?urn=urn:rsi:video:15965992,Proxicompost - Compostaggio di prossimità - LIS,Paola Massa
2023-01-19_gemeinsam_statt_einsam,2023-01-19_gemeinsam_statt_einsam,Rolf Perrollaz,https://www.srf.ch/play/tv/mitenand-in-gebaerdensprache/video/gemeinsam-statt-einsam-im-alter?urn=urn:srf:video:c9eb8b5d-0ea1-4b98-b6e0-23388065806a,Gemeinsam statt einsam im Alter,,,,,,,2023-02-04_croce_rossa_svizzera,2023-02-04_croce_rossa_svizzera,https://www.rsi.ch/play/tv/insieme-lis/video/croce-rossa-svizzera-canton-zurigo-lis?urn=urn:rsi:video:15966007,Croce Rossa Svizzera - Canton Zurigo - LIS,Paola Massa
2023-01-12_bali_–_ein,2023-01-12_bali_–_ein,Marcos Denis,https://www.srf.ch/play/tv/mitenand-in-gebaerdensprache/video/bali---ein-dorf-muss-nicht-mehr-betteln?urn=urn:srf:video:b7862c38-949e-46ec-bb9e-acfa4e61393f,Bali – Ein Dorf muss nicht mehr betteln,2023-04-09_2316_zukunft_fur_kinder,2024-03-05,Adrien Pelletier,https://www.rts.ch/play/tv/ensemble-signe/video/zukunft-fur-kinder-lartisanat-pour-une-vie-meilleure?urn=urn:rts:video:14748317,2023-04-09_2316_zukunft_fur_kinder.mxf,ZUKUNFT FUR KINDER - L’artisanat pour une vie meilleure,2023-02-11_associazione_futuro_per,2023-02-11_associazione_futuro_per,https://www.rsi.ch/play/tv/insieme-lis/video/associazione-futuro-per-bambini-zukunft-fuer-kinder-lis?urn=urn:rsi:video:15966049,Associazione Futuro per Bambini - Zukunft für Kinder - LIS,Paola Massa
,,,,,,,,,,,2023-03-11_fondazione_sos_villaggi,2023-03-11_fondazione_sos_villaggi,https://www.rsi.ch/play/tv/insieme-lis/video/fondazione-sos-villaggi-dei-bambini-svizzera-lis?urn=urn:rsi:video:15966034,Fondazione SOS Villaggi dei Bambini Svizzera - LIS,Paola Massa
,,,,,2023-07-02_2329_pro_mente_sana,,Azra Beslagic,,2023-07-02_2329_pro_mente_sana.mxf,ENSEMBLE2329 - Pro Mente sana - avec LSF -2.7.23,2023-03-18_fondazione_pro_mente,2023-03-18_fondazione_pro_mente,https://www.rsi.ch/play/tv/insieme-lis/video/fondazione-pro-mente-sana-lis?urn=urn:rsi:video:16101325,Fondazione Pro Mente Sana - LIS,Paola Massa
,,,,,2248_alterstartfood,,Azra Beslagic,,2248_alterstartfood.mxf,ENSEMBLE2248 - AlterStartFood,2023-03-25_alter_start_food,2023-03-25_alter_start_food,https://www.rsi.ch/play/tv/insieme-lis/video/alter-start-food-cucina-dal-mondo-lis?urn=urn:rsi:video:16101352,Alter Start Food cucina dal mondo - LIS,Paola Massa
2023-03-02_rheuma_in_jungen,2023-03-02_rheuma_in_jungen,Marcos Denis,https://www.srf.ch/play/tv/mitenand-in-gebaerdensprache/video/rheuma-in-jungen-jahren?urn=urn:srf:video:2e8353cd-c1d4-47c9-b67f-773cd434431d,Rheuma in jungen Jahren,,,,,,,2023-04-01_lega_svizzera_contro,2023-04-01_lega_svizzera_contro,https://www.rsi.ch/play/tv/insieme-lis/video/lega-svizzera-contro-il-reumatismo-lis?urn=urn:rsi:video:16101361,Lega svizzera contro il reumatismo - LIS,Paola Massa
,,,,,2023-03-05_2310_le_refettorio,2023-03-05_2310_le_refettorio,Adrien Pelletier,https://www.rts.ch/play/tv/ensemble-signe/video/le-refettorio-une-experience--culinaire-et-sociale?urn=urn:rts:video:14529024,2023-03-05_2310_le_refettorio.mxf,LE REFETTORIO - Une expérience culinaire et sociale,2023-04-08_associazione_refettorio_-,2023-04-08_associazione_refettorio_-,https://www.rsi.ch/play/tv/insieme-lis/video/associazione-refettorio-cucina-sociale-lis?urn=urn:rsi:video:16101382,Associazione Refettorio - cucina sociale - LIS,Paola Massa
2023-03-09_psychologische_unterstützung_für,2023-03-09_psychologische_unterstützung_für,Sascha Thiemeyer,https://www.srf.ch/play/tv/mitenand-in-gebaerdensprache/video/psychologische-unterstuetzung-fuer-junge-asylsuchende?urn=urn:srf:video:c7808e84-a3df-4f29-b13c-dca5eeedaa5c,Psychologische Unterstützung für junge Asylsuchende,2023-06-04_2327_psy4asyl,,Adrien Pelletier,,2023-06-04_2327_psy4asyl.mxf,ENSEMBLE2327 - Psy4Asyl-avec LSF-4.6.23,2023-04-15_psy4asyl_-_sostegno,2023-04-15_psy4asyl_-_sostegno,https://www.rsi.ch/play/tv/insieme-lis/video/psy4asyl-sostegno-ai-rifugiati-lis?urn=urn:rsi:video:16101373,Psy4Asyl - sostegno ai rifugiati - LIS,Paola Massa
,,,,,,,,,,,2023-04-22_associazione_avventuno_-,2023-04-22_associazione_avventuno_-,https://www.rsi.ch/play/tv/insieme-lis/video/associazione-avventuno-lis?urn=urn:rsi:video:16179154,Associazione Avventuno - LIS,Paola Massa
,,,,,2023-02-05_2307_for_womxn,2023-02-05_2307_for_womxn,Adrien Pelletier,https://www.rts.ch/play/tv/ensemble-signe/video/for-womxm-period-des-serviettes-lavables-une-demarche-ecofeministe?urn=urn:rts:video:14528944,2023-02-05_2307_for_womxn.mxf,"FOR WOMXM, PERIOD - Des serviettes lavables, Une démarche écoféministe","2023-04-29_associazione_""for_womxn,","2023-04-29_associazione_""for_womxn,",https://www.rsi.ch/play/tv/insieme-lis/video/associazione-for-womxn-period-lis?urn=urn:rsi:video:16179148,"Associazione ""For Womxn, Period"" - LIS",Paola Massa
2023-07-10_kein_essen_mehr,2023-07-10_kein_essen_mehr,Sascha Thiemeyer,https://www.srf.ch/play/tv/mitenand-in-gebaerdensprache/video/kein-essen-mehr-wegschmeissen?urn=urn:srf:video:8d8c72f9-d4a2-4b28-bc49-9de0d5e564a7,Kein Essen mehr wegschmeissen,2023-03-12_2311_swissfoodacademy,2023-12-05,Adrien Pelletier,https://www.rts.ch/play/tv/ensemble-signe/video/swiss-food-academy-bien-manger-sans-gaspiller?urn=urn:rts:video:14529016,2023-03-12_2311_swissfoodacademy.mxf,SWISS FOOD ACADEMY - Bien manger Sans gaspiller,2023-05-06_swiss_food_academy,2023-05-06_swiss_food_academy,https://www.rsi.ch/play/tv/insieme-lis/video/swiss-food-academy-alimentazione-sana-e-sostenibile-lis?urn=urn:rsi:video:16179160,Swiss Food Academy - Alimentazione sana e sostenibile - LIS,Paola Massa
,,,,,2247_oceaneye,,Azra Beslagic,,2247_oceaneye.mxf,ENSEMBLE2247 - OceanEye,2023-05-20_associazione_oceaneye_-,2023-05-20_associazione_oceaneye_-,https://www.rsi.ch/play/tv/insieme-lis/video/associazione-oceaneye-lis?urn=urn:rsi:video:16179172,Associazione Oceaneye - LIS,Paola Massa
,,,,,,,Azra Beslagic,,only green screen on Mediahub,Diabete,2023-05-27_fondazione_vivere_con,2023-05-27_fondazione_vivere_con,https://www.rsi.ch/play/tv/insieme-lis/video/fondazione-vivere-con-il-diabete-di-tipo-1-lis?urn=urn:rsi:video:16179166,Fondazione Vivere con il diabete di tipo 1 - LIS,Paola Massa
2023-12-07,2023-12-07,Marcos Denis,https://www.srf.ch/play/tv/mitenand-in-gebaerdensprache/video/unterstuetzung-bei-der-integration-von-migrantinnen?urn=urn:srf:video:309dbb40-b51d-4aa7-810a-30c2e5e991c0,Unterstützung bei der Integration von Migrantinnen,2023-05-21_2330_il_trajito,,Adrien Pelletier,,2023-05-21_2330_il_trajito.mxf,ENSEMBLE2330 - Il Trajito-avec LSF-21.5.23,2023-06-03_associazione_il_tragitto,2023-06-03_associazione_il_tragitto,https://www.rsi.ch/play/tv/insieme-lis/video/associazione-il-tragitto---catena-della-solidarieta-lis?urn=urn:rsi:video:16269097,Associazione Il Tragitto – Catena della Solidarietà - LIS,Paola Massa
2023-10-19,2023-10-19,Nikole Mitterbauer,https://www.srf.ch/play/tv/mitenand-in-gebaerdensprache/video/transport-velo-statt-transport-van?urn=urn:srf:video:81993c54-176b-453b-bbba-dc61d1cb9a72,Transport-Velo statt Transport-Van,2023-04-02_2314_artisans_à_vélo,2024-03-05,Adrien Pelletier,https://www.rts.ch/play/tv/ensemble-signe/video/les-artisans-a-velo-une-camionnette--de-moins-en-ville?urn=urn:rts:video:14748325,2023-04-02_2314_artisans_à_vélo.mxf,LES ARTISANS A VELO - Une camionnette de moins en ville,2023-06-10_associazione_artigiani_in,2023-06-10_associazione_artigiani_in,https://www.rsi.ch/play/tv/insieme-lis/video/associazione-artigiani-in-bicicletta-lis?urn=urn:rsi:video:1651418,Associazione Artigiani in bicicletta - LIS,Paola Massa
,,,,,2023-04-30_2320_le_copain,,Adrien Pelletier,,2023-04-30_2320_le_copain.mxf,ENSEMBLE2320 - Le Copain-avec LSF-30.4.23,2023-06-17_fondazione_le_copain,2023-06-17_fondazione_le_copain,https://www.rsi.ch/play/tv/insieme-lis/video/fondazione-le-copain-cani-da-assistenza-lis?urn=urn:rsi:video:16269130,Fondazione Le Copain cani da assistenza - LIS,Paola Massa
,,,,,,,,,,,"2023-06-24_movimento_avaeva,_generazione","2023-06-24_movimento_avaeva,_generazione",https://www.rsi.ch/play/tv/insieme-lis/video/movimento-avaeva-generazione-nonne-lis?urn=urn:rsi:video:16269115,"Movimento AvaEva, generazione nonne - LIS",Paola Massa
,,,,,2023-07-09_2323_vacances,,Azra Beslagic,,2023-07-09_2323_vacances.mxf,ENSEMBLE2323 - Vacances- avec LSF-9.7.23,2023-07-01_fondazione_vacanze_in,2023-07-01_fondazione_vacanze_in,https://www.rsi.ch/play/tv/insieme-lis/video/fondazione-vacanze-in-edifici-storici-lis?urn=urn:rsi:video:16269136,Fondazione Vacanze in edifici storici - LIS,Paola Massa
,,,,,,,,,,,2023-07-08_mission_aviation_fellowship,2023-07-08_mission_aviation_fellowship,https://www.rsi.ch/play/tv/insieme-lis/video/mission-aviation-fellowship-volare-per-la-vita-lis?urn=urn:rsi:video:16269142,Mission Aviation Fellowship - volare per la vita - LIS,Paola Massa
,,,,,,,,,,,2023-07-29_aiuto_svizzero_alla,2023-07-29_aiuto_svizzero_alla,https://www.rsi.ch/play/tv/insieme-lis/video/aiuto-svizzero-alla-montagna-lis?urn=urn:rsi:video:16389847,Aiuto svizzero alla montagna - LIS,Paola Massa
2023-03-16_brennholz_von_menschen,2023-03-16_brennholz_von_menschen,Marcos Denis,https://www.srf.ch/play/tv/mitenand-in-gebaerdensprache/video/brennholz-von-menschen-mit-beeintraechtigung?urn=urn:srf:video:e784cb99-978a-4b1b-8c6f-4252edb3a074,Brennholz von Menschen mit Beeinträchtigung,,,,,,,"2023-08-12_fondazione_züriwerk,_integrazione","2023-08-12_fondazione_züriwerk,_integrazione",https://www.rsi.ch/play/tv/insieme-lis/video/fondazione-zueriwerk-integrazione-professionale-lis?urn=urn:rsi:video:16381513,"Fondazione Züriwerk, integrazione professionale - LIS",Paola Massa
,,,,,,,,,,,2023-08-26_associazione_prometheus_-,2023-08-26_associazione_prometheus_-,https://www.rsi.ch/play/tv/insieme-lis/video/associazione-prometheus-lis?urn=urn:rsi:video:16390216,Associazione Prometheus - LIS,Paola Massa
2023-03-30_ein_haus_für,2023-03-30_ein_haus_für,Barbara Rossier,https://www.srf.ch/play/tv/mitenand-in-gebaerdensprache/video/ein-haus-fuer-die-generation-ue60?urn=urn:srf:video:7774ad3b-61c0-4e2b-b50d-9cfc23227b03,Ein Haus für die Generation Ü60,2023-06-18_2328_kosmos,,Azra Beslagic,,2023-06-18_2328_kosmos.mxf,ENSEMBLE2328 - Kosmos - avec LSF -18.6.23,2023-08-19_kosmos_space_-,2023-08-19_kosmos_space_-,https://www.rsi.ch/play/tv/insieme-lis/video/kosmos-space-lis?urn=urn:rsi:video:16382887,Kosmos space - LIS,Paola Massa
2023-04-06_suriname_–_hilfe,2023-04-06_suriname_–_hilfe,Sascha Thiemeyer,https://www.srf.ch/play/tv/mitenand-in-gebaerdensprache/video/suriname---hilfe-in-den-dschungel-fliegen?urn=urn:srf:video:08ffd0b8-219b-41e5-87fd-0433cd985848,Suriname – Hilfe in den Dschungel fliegen,,,,,,,,,,,
2023-04-13_mehr_lebensqualität_dank,2023-04-13_mehr_lebensqualität_dank,Käthi Schlegel,https://www.srf.ch/play/tv/mitenand-in-gebaerdensprache/video/mehr-lebensqualitaet-dank-elektrischer-insulinpumpe?urn=urn:srf:video:89d7d6e3-349d-45e3-96f6-1d7ea42bf1f9,Mehr Lebensqualität dank elektrischer Insulinpumpe,,,,,,,,,,,
2023-04-20_tanzen_mit_parkinson,2023-04-20_tanzen_mit_parkinson,Käthi Schlegel,https://www.srf.ch/play/tv/mitenand-in-gebaerdensprache/video/tanzen-mit-parkinson?urn=urn:srf:video:22aee25c-b918-4f03-abc6-e84ec0fab272,Tanzen mit Parkinson,,,,,,ENSEMBLE2404 - Parkinson,,,,,
2023-04-27_kuba_–_spielerisch,2023-04-27_kuba_–_spielerisch,Marcos Denis,https://www.srf.ch/play/tv/mitenand-in-gebaerdensprache/video/kuba---spielerisch-lernen-die-umwelt-zu-schuetzen?urn=urn:srf:video:69abdc19-f404-469b-ac31-17df1d85089b,"Kuba – Spielerisch lernen, die Umwelt zu schützen",,,,,,,2023-09-02_zunzun_–_progetti,2023-09-02_zunzun_–_progetti,https://www.rsi.ch/play/tv/insieme-lis/video/zunzun---progetti-di-sviluppo-per-cuba-lis?urn=urn:rsi:video:16464325,Zunzun – progetti di sviluppo per Cuba - LIS,Paola Massa
2023-05-04_chancengleichheit_für_schulkinder,2023-05-04_chancengleichheit_für_schulkinder,Sascha Thiemeyer,https://www.srf.ch/play/tv/mitenand-in-gebaerdensprache/video/chancengleichheit-fuer-schulkinder?urn=urn:srf:video:6f39c6ba-548d-402c-b37c-493a09cc3bfb,Chancengleichheit für Schulkinder,,,,,,,2023-09-23_arche_zürich_–,2023-09-23_arche_zürich_–,https://www.rsi.ch/play/tv/insieme-lis/video/arche-zuerich---accompagnamento-educativo-lis?urn=urn:rsi:video:1866413,Arche Zürich – Accompagnamento educativo - LIS,Mikhail Akimov
2023-05-11_retten_ist_klasse,2023-05-11_retten_ist_klasse,Sascha Thiemeyer,https://www.srf.ch/play/tv/mitenand-in-gebaerdensprache/video/retten-ist-klasse?urn=urn:srf:video:08e2d490-9e5f-4926-a449-d43a8382e8bc,Retten ist Klasse,,,,,,,,,,,
2023-05-18_unterstützung_für_junge,2023-05-18_unterstützung_für_junge,Marcos Denis,https://www.srf.ch/play/tv/mitenand-in-gebaerdensprache/video/unterstuetzung-fuer-junge-eltern-in-not?urn=urn:srf:video:214158d5-6c01-43b7-a8b5-0a53ce8a760f,Unterstützung für junge Eltern in Not,2238_chaine_du_bonheur,2238_chaine_du_bonheur,Azra Beslagic,,2238_chaine_du_bonheur.mxf,ENSEMBLE2238 - Chaine du bonheur - Parents,,2023-04-10,https://www.rsi.ch/play/tv/insieme-lis/video/catena-della-solidarieta-associazione-giovani-genitori-lis?urn=urn:rsi:video:16101346,Catena della solidarietà - Associazione Giovani Genitori - LIS,Paola Massa
2023-06-01_brasilien_–_für,2023-06-01_brasilien_–_für,Marcos Denis,https://www.srf.ch/play/tv/mitenand-in-gebaerdensprache/video/brasilien---fuer-einen-tag-model-sein?urn=urn:srf:video:5ec5da73-ebc7-4165-a8e6-58787c1feb10,Brasilien – Für einen Tag Model sein,,,,,,,2023-07-15_arco_–_progetti,2023-07-15_arco_–_progetti,https://www.rsi.ch/play/tv/insieme-lis/video/arco---progetti-per-bambini-brasiliani-lis?urn=urn:rsi:video:16269109,ARCO – progetti per bambini brasiliani - LIS,Paola Massa
2023-06-08_basketball_für_benachteiligte,2023-06-08_basketball_für_benachteiligte,Sascha Thiemeyer,https://www.srf.ch/play/tv/mitenand-in-gebaerdensprache/video/basketball-fuer-benachteiligte-jugendliche?urn=urn:srf:video:eee5a156-bac8-4e6c-9235-8f0c1c84c401,Basketball für benachteiligte Jugendliche,,,,,,,2023-07-22_bölle_isch_lebe,2023-07-22_bölle_isch_lebe,https://www.rsi.ch/play/tv/insieme-lis/video/boelle-isch-lebe---il-basket-e-vita-lis?urn=urn:rsi:video:16385248,Bölle isch lebe – Il basket è vita - LIS,Laura Sciuchetti
2023-06-15_chile_–_unterstützung,,Sascha Thiemeyer,https://www.srf.ch/play/tv/mitenand-in-gebaerdensprache/video/chile---unterstuetzung-fuer-migrantinnen-aus-venezuela?urn=urn:srf:video:522477f8-f270-44e4-a1bd-42114dfea937,Chile – Unterstützung für Migrantinnen aus Venezuela,,,,,,,2023-09-16_connexio_develop_-,2023-09-16_connexio_develop_-,https://www.rsi.ch/play/tv/insieme-lis/video/connexio-develop-aiuto-allo-sviluppo-lis?urn=urn:rsi:video:1860251,Connexio develop - aiuto allo sviluppo - LIS,Paola Massa
2024-04-18,2024-04-18,,,Ein Club für Menschen mit psychischen Problemen,,,,,,ENSEMBLE2407 - Club 74,,2023-09-30,https://www.rsi.ch/play/tv/insieme-lis/video/associazione-club-74-lis?urn=urn:rsi:video:1867435,Associazione Club 74 - LIS,Paola Massa
2023-06-29_fussball_mit_handicap,2023-06-29_fussball_mit_handicap,Sascha Thiemeyer,https://www.srf.ch/play/tv/mitenand-in-gebaerdensprache/video/fussball-mit-handicap---hier-sind-alle-gewinner?urn=urn:srf:video:8c88a2c3-2a03-42d4-a207-71746e9ac54f,Fussball mit Handicap – Hier sind alle Gewinner,,,,,,,,,,,
2023-07-03_mit_alpakas_die,2023-07-03_mit_alpakas_die,Sascha Thiemeyer,https://www.srf.ch/play/tv/mitenand-in-gebaerdensprache/video/mit-alpakas-die-existenzgrundlage-sichern?urn=urn:srf:video:02d2fa01-4733-4ec1-9885-bb03f2297c84,Mit Alpakas die Existenzgrundlage sichern,,,,,,ENSEMBLE2336 - Schweizer Berhhilfe,,,,,
2023-07-17_einsatz_gegen_nashorn-wilderer,2023-07-17_einsatz_gegen_nashorn-wilderer,Marcos Denis,https://www.srf.ch/play/tv/mitenand-in-gebaerdensprache/video/einsatz-gegen-nashorn-wilderer?urn=urn:srf:video:c9060c65-925c-492c-b1e9-6bcf2ff36954,"Einsatz gegen Nashorn-Wilderer (Staffel 2019, Folge 15; Erstausstrahlung 14.04.2019.)",,,,,,,,,,,
2023-07-24_galapagos_–_rettung,2023-07-24_galapagos_–_rettung,Marcos Denis,https://www.srf.ch/play/tv/mitenand-in-gebaerdensprache/video/galapagos---rettung-fuer-bedrohte-tierarten?urn=urn:srf:video:86c1527e-c513-462c-bba9-cfd0da97484c,"Galapagos – Rettung für bedrohte Tierarten (Staffel 2019, Folge 44; Erstausstrahlung: 17. November 2019)",,,,,,,,,,,
2023-07-31_ghana_–_eine,2023-07-31_ghana_–_eine,Barbara Rossier,https://www.srf.ch/play/tv/mitenand-in-gebaerdensprache/video/ghana---eine-zukunft-aufbauen-dank-mikrokredit?urn=urn:srf:video:bb679076-fe7b-45e5-a06a-42bcf5c670fb,"Ghana – Eine Zukunft aufbauen dank Mikrokredit (Staffel 2020, Folge 15; 31. Mai 2020)",,,,,,,,,,,
2023-08-14_klassenzimmer_aus_recyceltem,2023-08-14_klassenzimmer_aus_recyceltem,Susanne Günther-Wick,https://www.srf.ch/play/tv/mitenand-in-gebaerdensprache/video/klassenzimmer-aus-recyceltem-plastikmuell-staffel-2020-folge-55?urn=urn:srf:video:acd8d69b-d4b0-424c-be59-e1cfd88b7614,"Klassenzimmer aus recyceltem Plastikmüll (Staffel 2020, Folge 55; Erstausstrahlung: 29. November 2020)",,2022-02-24_l’unicef_soutient_la,Marie Castella,,2021_08_15_2107_UNICEF,,,,,,
2023-08-24,2023-08-24,Marcos Denis,https://www.srf.ch/play/tv/mitenand-in-gebaerdensprache/video/wunscherfuellung-fuer-kinder-mit-krankheit-oder-behinderung-staffel-2019-folge-57?urn=urn:srf:video:4628119d-7e7a-453f-8c02-e1410a583041,"Wunscherfüllung für Kinder mit Krankheit oder Behinderung (Staffel 2019, Folge 57)",,,,,,,,,,,
2023-08-31,2023-08-31,Susanne Günther-Wick,https://www.srf.ch/play/tv/mitenand-in-gebaerdensprache/video/liberia---sieben-zahnaerzte-fuer-fuenf-millionen-menschen?urn=urn:srf:video:3869228f-b323-4d58-94de-052699220c1d,Liberia – Sieben Zahnärzte für fünf Millionen Menschen,,,,,,,,2023-11-11,https://www.rsi.ch/play/tv/insieme-lis/video/sme---servizio-di-missione-e-cooperazione?urn=urn:rsi:video:1899602,SME - Servizio di missione e cooperazione,Laura Sciuchetti
2023-09-07,2023-09-07,Marcos Denis,https://www.srf.ch/play/tv/mitenand-in-gebaerdensprache/video/kinshasa---ausbildung-fuer-strassenkinder?urn=urn:srf:video:31436679-dcc0-4e66-af8c-662bb1d03dea,Kinshasa – Ausbildung für Strassenkinder,,,,,,,,2023-11-25,https://www.rsi.ch/play/tv/insieme-lis/video/mission-21---lis?urn=urn:rsi:video:1987374,Mission 21 - LIS,Mikhail Akimov
2023-09-14,2023-09-14,Marcos Denis,https://www.srf.ch/play/tv/mitenand-in-gebaerdensprache/video/audiobotschaften-fuer-die-hinterbliebenen?urn=urn:srf:video:0f6cf9b5-3daf-4c06-9de8-55e7c39a95ba,Audiobotschaften für die Hinterbliebenen,,,,,,,,2023-11-04,https://www.rsi.ch/play/tv/insieme-lis/video/hoerschatz---tesoro-sonoro-lis?urn=urn:rsi:video:1899614,Hörschatz – Tesoro sonoro - LIS,Laura Sciuchetti
2023-09-21,2023-09-21,Marcos Denis,https://www.srf.ch/play/tv/mitenand-in-gebaerdensprache/video/gemeinsam-eine-barrierefreie-welt-erschaffen?urn=urn:srf:video:3f2e27fd-a991-41a5-810b-05f8c682600a,Gemeinsam eine barrierefreie Welt erschaffen,,,,,,ENSEMBLE2337 - Inclusion Handicap Ticino,,2023-05-13,https://www.rsi.ch/play/tv/insieme-lis/video/inclusione-andicap-ticino-lis?urn=urn:rsi:video:16179178,Inclusione andicap ticino - LIS,Paola Massa
2023-09-28,2023-09-28,Marcos Denis,https://www.srf.ch/play/tv/mitenand-in-gebaerdensprache/video/zirkuszauber-fuer-armutsbetroffene-kinder?urn=urn:srf:video:dc273de4-b0ad-4514-bd90-208f5933b54c,Zirkuszauber für armutsbetroffene Kinder,,,Sabrina Carlioz,,,ENSEMBLE2405 - Kovive avec LSF 21.01.2024,,,,,
2023-10-05,2023-10-05,Corinne Stutz,https://www.srf.ch/play/tv/mitenand-in-gebaerdensprache/video/segeln-fuer-menschen-mit-handicap?urn=urn:srf:video:1fb53089-b0d3-4277-ba68-7b2f6baf6756,Segeln für Menschen mit Handicap,,,,,,,,2024-01-27,https://www.rsi.ch/play/tv/insieme-lis/video/sailability---lis?urn=urn:rsi:video:2020780,Sailability - LIS,Laura Sciuchetti
2023-10-12,2023-10-12,Nikole Mitterbauer,https://www.srf.ch/play/tv/mitenand-in-gebaerdensprache/video/nachhause-mit-der-fliegenden-ambulanz?urn=urn:srf:video:254f3836-01fb-4b72-bb14-14905b2208f2,Nachhause mit der fliegenden Ambulanz,,,,,,,,,,,
2023-10-26,2023-10-26,Marcos Denis,https://www.srf.ch/play/tv/mitenand-in-gebaerdensprache/video/philippinen---kampf-gegen-tuberkulose?urn=urn:srf:video:5c8d3a61-58b0-4b4a-aaad-bf4a06bbdc2e,Philippinen – Kampf gegen Tuberkulose,,,Sabrina Carlioz,,,ENSEMBLE2403 - MSF Philippinen avec LSF 07.01.2024,,,,,
2023-11-02,2023-11-02,Marcos Denis,https://www.srf.ch/play/tv/mitenand-in-gebaerdensprache/video/ein-bereicherndes-patchwork-als-familie?urn=urn:srf:video:2042d207-6f08-4dac-8db8-038e3a70d74a,Ein bereicherndes Patchwork als Familie,,,,,,,,,,,
2023-11-16,2023-11-16,Nikole Mitterbauer,https://www.srf.ch/play/tv/mitenand-in-gebaerdensprache/video/entlastung-fuer-eltern-mit-kranken-kindern?urn=urn:srf:video:3a109847-fe9b-4841-bbb5-65a5e1844ab2,Entlastung für Eltern mit kranken Kindern,,,,,,ENSEMBLE2408 - Aladdin,,2024-02-03,https://www.rsi.ch/play/tv/insieme-lis/video/fondazione-aladdin-lis?urn=urn:rsi:video:2048016,Fondazione Aladdin - LIS,Laura Sciuchetti
2023-11-23,2023-11-23,Nikole Mitterbauer,https://www.srf.ch/play/tv/mitenand-in-gebaerdensprache/video/ein-volles-leben-trotz-hoer--und-sehschwaeche?urn=urn:srf:video:0b46bf76-6832-4b55-ad1e-ef82533cd68c,Ein volles Leben trotz Hör- und Sehschwäche,,,,,,,,,,,
2023-11-30 ?,2023-11-30 ?,,,Ein Kinderspital für die Palästinenser,,,,,,,,,,,
2023-11-30,2023-11-30,Nikole Mitterbauer,https://www.srf.ch/play/tv/mitenand-in-gebaerdensprache/video/schutz-der-meerestiere-vor-plastikmuell?urn=urn:srf:video:d230d179-9624-4e37-b689-3029434a3be5,Schutz der Meerestiere vor Plastikmüll,,,,,,,,2024--3-16,https://www.rsi.ch/play/tv/insieme-lis/video/kyma-contro-lecocidio-lis?urn=urn:rsi:video:2089311,Kyma - Contro l’ecocidio - LIS,Mikhail Akimov
2023-12-14,2023-12-14,Nikole Mitterbauer,https://www.srf.ch/play/tv/mitenand-in-gebaerdensprache/video/pakistan---maedchen-duerfen-nach-covid-zurueck-in-die-schule?urn=urn:srf:video:8c38663b-a4cb-4179-8488-0afff2e631d5,Pakistan – Mädchen dürfen nach Covid zurück in die Schule,,,,,,,,2024-01-01,https://www.rsi.ch/play/tv/insieme-lis/video/helvetas---catena-della-solidarieta---lis?urn=urn:rsi:video:2020776,Helvetas – Catena della Solidarietà - LIS,Laura Sciuchetti
2023-12-21,2023-12-21,Nikole Mitterbauer,https://www.srf.ch/play/tv/mitenand-in-gebaerdensprache/video/rechenstoerung-ist-keine-frage-der-intelligenz?urn=urn:srf:video:c942534d-b912-492c-ac30-89b1d8194226,Rechenstörung ist keine Frage der Intelligenz,,,,,,,,,,,
2023-12-28,2023-12-28,Nikole Mitterbauer,https://www.srf.ch/play/tv/mitenand-in-gebaerdensprache/video/artenvielfalt-macht-schule?urn=urn:srf:video:72f7ed84-682f-4efa-a63a-857a7b01ea23,Artenvielfalt macht Schule,,,,,,,,,,,
2024-01-04,2024-01-04,Barbara Rossier,https://www.srf.ch/play/tv/mitenand-in-gebaerdensprache/video/kambodscha---spielerischer-input-fuers-berufsleben?urn=urn:srf:video:5b0318ae-b7ac-4546-ae15-689c62708a2f,Kambodscha – Spielerischer Input fürs Berufsleben,,,,,,,,,,,
,,,,,2022-01-02_2201_infosekta,2023-12-05,Adrien Pelletier,https://www.rts.ch/play/tv/ensemble-signe/video/benjamin-a-pu-quitter-une-assemblee-religieuse-sectaire-avec-le-soutien-de-infosekta?urn=urn:rts:video:14528482,2022-01-02_2201_infosekta.mxf,Benjamin a pu quitter une assemblée religieuse sectaire avec le soutien de infoSekta,,,,,
