DSGS mitenand,DSGS mitenand manual,DSGS signer,SRF link,SRF title,LSF ensemble manual,LSF ensemble,LSF signer,RTS link,LSF SWISS TXT video file,RTS title,LIS insieme manual,LIS insieme,RSI link,RSI title,LIS signer
2022-11-03_thailand_–_kampf,2022-11-03_thailand_–_kampf,Tanja Joseph,https://www.srf.ch/play/tv/mitenand-in-gebaerdensprache/video/thailand---kampf-dem-plastikmuell?urn=urn:srf:video:374da256-e028-4ff3-bd70-f810219175ef,Thailand – Kampf dem Plastikmüll!,,,,,,,"2023-01-07_trash_hero,_contro","2023-01-07_trash_hero,_contro",https://www.rsi.ch/play/tv/insieme-lis/video/trash-hero-contro-il-littering-lis?urn=urn:rsi:video:15885787,"Trash Hero, contro il littering - LIS",Giancarla Calitri
2022-11-17_prävention_von_gewalt,2022-11-17_prävention_von_gewalt,Barbara Rossier,https://www.srf.ch/play/tv/mitenand-in-gebaerdensprache/video/praevention-von-gewalt-gegen-kinder-und-jugendliche?urn=urn:srf:video:233ccd4b-42e4-4c32-af86-dccdd2c2dacd,Prävention von Gewalt gegen Kinder und Jugendliche,2022-04-24_2218_patouch,2023-12-05,Marie Castella,https://www.rts.ch/play/tv/ensemble-signe/video/patouch-construire-des-enfants-forts?urn=urn:rts:video:14528365,2022-04-24_2218_patouch.mxf,PATOUCH - Construire des enfants forts,2022-10-08_associazione_patouch_-,2022-10-08_associazione_patouch_-,https://www.rsi.ch/play/tv/insieme-lis/video/associazione-patouch-lis?urn=urn:rsi:video:15684589,Associazione Patouch - LIS,Angela Lunelio
2022-11-24_tauchen_mit_handicap,2022-11-24_tauchen_mit_handicap,Rolf Perrollaz,https://www.srf.ch/play/tv/mitenand-in-gebaerdensprache/video/tauchen-mit-handicap?urn=urn:srf:video:68ed19f7-ffd5-4265-a4c8-c22880938667,Tauchen mit Handicap,,,,,,,2023-03-04_hsa_-_handicapped,2023-03-04_hsa_-_handicapped,https://www.rsi.ch/play/tv/insieme-lis/video/hsa-handicapped-scuba-association-svizzera-lis?urn=urn:rsi:video:15966013,HSA - Handicapped Scuba Association - Svizzera - LIS,Paola Massa
2022-12-01_einsatz_für_die,2022-12-01_einsatz_für_die,Rolf Perrollaz,https://www.srf.ch/play/tv/mitenand-in-gebaerdensprache/video/einsatz-fuer-die-natur?urn=urn:srf:video:6010b880-0e8d-48d5-aa25-333564ae2fa3,Einsatz für die Natur,2023-02-19_2309_wwf,2023-12-05,Adrien Pelletier,https://www.rts.ch/play/tv/ensemble-signe/video/wwf-des-alpages-suisses-riches-en-biodiversite?urn=urn:rts:video:14528952,2023-02-19_2309_wwf.mxf,WWF - Des alpages suisses riches en biodiversité,2023-02-18_wwf_-_lis,2023-02-18_wwf_-_lis,https://www.rsi.ch/play/tv/insieme-lis/video/wwf-lis?urn=urn:rsi:video:15966055,WWF - LIS,Paola Massa
2022-12-08_anlaufstelle_für_jugendliche,2022-12-08_anlaufstelle_für_jugendliche,Barbara Rossier,https://www.srf.ch/play/tv/mitenand-in-gebaerdensprache/video/anlaufstelle-fuer-jugendliche-mit-problemen?urn=urn:srf:video:4152a6f3-ad3b-494a-9b39-aa131a2422de,Anlaufstelle für Jugendliche mit Problemen,,,,,,,,,,,
,,,,,,,,,,,2022-01-01_catena_della_solidarietà,2022-01-01_catena_della_solidarietà,,Catena della Solidarietà - Medici del Mondo - LIS,Giancarla Calitri
,,,,,,,,,,,2022-01-08_caritas_-_volontariato,2022-01-08_caritas_-_volontariato,,Caritas - Volontariato dai contadini di montagna - LIS,Giancarla Calitri
2022-09-01_kenia_–_schulbesuch,2022-09-01_kenia_–_schulbesuch,Barbara Rossier,https://www.srf.ch/play/tv/mitenand-in-gebaerdensprache/video/kenia---schulbesuch-dank-mini-teleskop?urn=urn:srf:video:1f7c71f2-13de-4f4d-acde-577c5291ccae,Kenia – Schulbesuch dank mini-Teleskop,,,,,,,,2022-01-15_kenya_cbm_-,,Kenya CBM - Missione cristiana per i cechi nel mondo - LIS,Giancarla Calitri
,,,,,2022-05-01_2219_fondation_san_gottardo,2022-05-01_2219_fondation_san_gottardo,Marie Castella,https://www.rts.ch/play/tv/ensemble-signe/video/san-gottardo-le-futur-se-trouve-dans-les-racines?urn=urn:rts:video:14528323,2022-05-01_2219_fondation_san_gottardo.mxf,SAN GOTTARDO - Le futur se trouve dans les racines,2022-01-22_fondazione_san_gottardo,2022-01-22_fondazione_san_gottardo,,"Fondazione San Gottardo - Nelle radici, il futuro - LIS",Giancarla Calitri
,,,,,2022-05-03_après_l’incendie_meurtrier,2022-05-03_après_l’incendie_meurtrier,Adrien Pelletier,,2021_10_03_2148_Flavie,Association Flavie – au secours des grands brules,2022-01-29_flavie_-_associazione,2022-01-29_flavie_-_associazione,,FLAVIE - Associazione per le vittime di ustioni - LIS,Giancarla Calitri
,,,,,2022-02-13_2208_Theodora,,Adrien Pelletier,,2022-02-13_2208_Theodora.mxf,ENSEMBLE2208 - Theodora avec LSF-2022-02-13,"2022-02-05_fondazione_theodora,_contribuire","2022-02-05_fondazione_theodora,_contribuire",,"Fondazione Theodora, contribuire alla guarigione con il buon umore - LIS",Giancarla Calitri
,,,,,,,,,,,2022-02-19_associazione_dei_piccoli,2022-02-19_associazione_dei_piccoli,,Associazione dei piccoli contadini - LIS,Angela Lunelio
,,,,,,,,,,,2022-03-05_lega_svizzera_contro,2022-03-05_lega_svizzera_contro,,Lega Svizzera contro l’Epilessia - LIS,Angela Lunelio
